,term,frequency
971,dienst,20
972,ochsen,20
973,nähe,20
974,nochen,20
975,sieh,20
976,einander,20
977,zart,20
978,umsonst,20
979,nie,20
980,rief,20
981,wirds,20
982,wach,20
983,kochte,20
984,steh,20
985,hinüber,20
986,verwunderung,20
987,freund,20
988,bleib,20
989,mitnehmen,20
990,glied,20
991,schuld,20
992,rotkäppchen,20
993,flasche,20
994,spieß,20
995,küßte,20
996,fremde,20
997,feder,20
998,amtmann,20
999,heiß,19
1000,häßlich,19
1001,tischlein,19
1002,näh,19
1003,fürchten,19
1004,wegs,19
1005,aufheben,19
1006,ißt,19
1007,seltsam,19
1008,fraß,19
1009,dick,19
1010,täglich,19
1011,pracht,19
1012,tue,19
1013,leibe,19
1014,gelegenheit,19
1015,hunde,19
1016,altes,19
1017,neun,19
1018,hilfe,19
1019,oft,19
1020,Wer,19
1021,bild,19
1022,hemd,19
1023,tanz,19
1024,rabe,19
1025,dahern,19
1026,schoßen,19
1027,gefängnis,19
1028,lege,19
1029,faul,19
1030,jagen,19
1031,seil,19
1032,langsam,19
1033,vollbringen,19
1034,folgend,19
1035,stiefel,19
1036,kuchen,19
1037,fleißig,19
1038,schlugen,19
1039,einsam,19
1040,hölle,19
1041,suppe,19
1042,gelangen,19
1043,krug,19
1044,schenkte,19
1045,deck,19
1046,freuden,19
1047,wat,19
1048,reiten,19
1049,spiegel,19
1050,blume,19
1051,derweil,19
1052,drache,19
1053,ritter,19
1054,bäuerlein,19
1055,maleen,19
1056,angelangen,18
1057,weiß,18
1058,ort,18
1059,schlich,18
1060,zunge,18
1061,gehts,18
1062,weichen,18
1063,blätter,18
1064,nachts,18
1065,manchmal,18
1066,gruseln,18
1067,ehrlich,18
1068,setzte,18
1069,bißchen,18
1070,grünen,18
1071,friede,18
1072,daraus,18
1073,menge,18
1074,betrogen,18
1075,liebern,18
1076,übel,18
1077,entzwei,18
1078,beisammen,18
1079,hähnch,18
1080,hähnchen,18
1081,gäste,18
1082,brüderchen,18
1083,seit,18
1084,bissen,18
1085,ruhen,18
1086,kommt,18
1087,kinde,18
1088,salat,18
1089,übers,18
1090,flügel,18
1091,freier,18
1092,glatt,18
1093,erfahren,18
1094,herren,18
1095,graben,18
1096,befehlen,18
1097,höh,18
1098,meh,18
1099,beutel,18
1100,dicke,18
1101,durchs,18
1102,zweig,18
1103,goldschmied,18
1104,frieder,18
1105,spielhansl,18
1106,kräften,17
1107,hinunter,17
1108,grün,17
1109,gestehen,17
1110,bewegen,17
1111,womit,17
1112,jammerte,17
1113,spielen,17
1114,herankam,17
1115,schob,17
1116,deckte,17
1117,viert,17
1118,kosen,17
1119,bäumen,17
1120,schüsseln,17
1121,nachdem,17
1122,zugegangen,17
1123,rechts,17
1124,schläge,17
1125,manne,17
1126,großen,17
1127,hübsch,17
1128,keins,17
1129,tu,17
1130,strich,17
1131,neuem,17
1132,schwach,17
1133,brannte,17
1134,melden,17
1135,jedermann,17
1136,bitte,17
1137,ferne,17
1138,drückte,17
1139,tüchlein,17
1140,erbsen,17
1141,längst,17
1142,glasberg,17
1143,ginge,17
1144,adies,17
1145,brauchte,17
1146,schritte,17
1147,traf,17
1148,bün,17
1149,ik,17
1150,schneeweißchen,17
1151,schaßen,17
1152,trunk,17
1153,bärenhäuter,17
1154,bäurin,17
1155,getreu,17
1156,fels,17
1157,geholfen,16
1158,rand,16
1159,sies,16
1160,willen,16
1161,verwandeln,16
1162,rühren,16
1163,empfand,16
1164,leuten,16
1165,lösen,16
1166,spät,16
1167,werdet,16
1168,schalt,16
1169,darunter,16
1170,manch,16
1171,brachten,16
1172,dank,16
1173,packen,16
1174,erkennen,16
1175,eile,16
1176,tanzten,16
1177,herrlich,16
1178,wohnte,16
1179,tropfen,16
1180,gedenken,16
1181,kehren,16
1182,bevor,16
1183,zog,16
1184,mitgehen,16
1185,eh,16
1186,verwünscht,16
1187,mahlzeit,16
1188,kleidern,16
1189,spann,16
1190,schnabel,16
1191,füß,16
1192,jedesmal,16
1193,hindurch,16
1194,teilen,16
1195,besen,16
1196,schwamm,16
1197,müdigkeit,16
1198,felde,16
1199,leisten,16
1200,desto,16
1201,kaiser,16
1202,papst,16
1203,sann,16
1204,pick,16
1205,schultern,16
1206,hu,16
1207,könnt,16
1208,knüppel,16
1209,machandelbaum,16
1210,herrgott,16
1211,schmied,16
1212,großknecht,16
1213,pfarra,16
1214,doktor,16
1215,eselein,16
1216,klagte,15
1217,woher,15
1218,gibst,15
1219,edelsteine,15
1220,etwa,15
1221,wart,15
1222,schmeckt,15
1223,ordnung,15
1224,wozu,15
1225,reh,15
1226,freute,15
1227,last,15
1228,wers,15
1229,anbrach,15
1230,leiter,15
1231,stände,15
1232,bank,15
1233,hub,15
1234,bach,15
1235,lieblich,15
1236,fünfte,15
1237,dreihundert,15
1238,wies,15
1239,zweimal,15
1240,schickt,15
